Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",130.600000,-40.100000,90.000000,top
"C2","100n","C_0402_1005Metric",133.450000,-53.300000,270.000000,top
"C3","100n","C_0402_1005Metric",131.650000,-40.700000,90.000000,top
"C4","100n","C_0402_1005Metric",126.500000,-43.950000,180.000000,top
"C5","100n","C_0402_1005Metric",137.500000,-48.250000,0.000000,top
"C6","100n","C_0402_1005Metric",126.500000,-48.550000,180.000000,top
"C7","100n","C_0402_1005Metric",132.420000,-53.300000,270.000000,top
"C8","100n","C_0402_1005Metric",137.100000,-43.850000,0.000000,top
"C9","100n","C_0402_1005Metric",137.100000,-42.800000,0.000000,top
"C10","1u","C_0402_1005Metric",135.900000,-41.200000,90.000000,top
"C11","0.1u","C_0603_1608Metric",118.350000,-35.450000,90.000000,top
"C12","1u","C_0603_1608Metric",112.650000,-35.700000,90.000000,top
"C13","1u","C_0402_1005Metric",134.850000,-40.700000,90.000000,top
"C14","4.7u","C_0402_1005Metric",110.450000,-37.550000,180.000000,top
"C15","1u","C_0402_1005Metric",136.250000,-33.800000,180.000000,top
"C16","1u","C_0402_1005Metric",136.250000,-38.600000,180.000000,top
"C17","100n","C_0402_1005Metric",122.500000,-33.650000,90.000000,top
"C18","30p","C_0402_1005Metric",129.900000,-54.600000,0.000000,top
"C19","30p","C_0402_1005Metric",133.100000,-57.250000,270.000000,top
"R1","39","R_0402_1005Metric",110.450000,-36.450000,180.000000,top
"R2","10k","R_0402_1005Metric",126.500000,-47.500000,180.000000,top
"R3","27","R_0402_1005Metric",132.700000,-40.700000,270.000000,top
"R4","27","R_0402_1005Metric",133.780000,-40.700000,270.000000,top
"R5","10k","R_0402_1005Metric",122.450000,-39.500000,270.000000,top
"R6","1k","R_0402_1005Metric",125.150000,-58.100000,270.000000,top
"R7","1k","R_0402_1005Metric",131.400000,-54.150000,90.000000,top
"SW1","SW_Push","SW_SPST_Omron_B3FS-100xP",129.000000,-65.000000,0.000000,top
"SW2","SW_Push","SW_SPST_Omron_B3FS-100xP",117.000000,-65.000000,0.000000,top
"U1","TCR2EF19","SOT-23-5",115.500000,-35.550000,180.000000,top
"U3","RP2040","RP2040-QFN-56",131.850000,-47.400000,0.000000,top
"U4","TLV73333PDBV","SOT-23-5",135.750000,-36.200000,270.000000,top
"U5","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",126.000000,-37.750000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",130.750000,-57.250000,270.000000,top
